recommendation,sourceSheet,sourceRowNumber,reviewType,target,evidence,reason
reject_as_identityless_after_audit,2. ESTIMADOS,139,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: GRAN TOTAL | 3004.059935 | 0 | 3004.059935 | 2605.282435
reject_as_identityless_after_audit,2. ESTIMADOS,145,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 1650.0 | 109.3125 | 1650.0
reject_as_identityless_after_audit,2. ESTIMADOS,146,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 1500.0 | 99.375 | 1500.0
reject_as_identityless_after_audit,2. ESTIMADOS,147,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 3150 | 208.6875 | 3358.6875
reject_as_identityless_after_audit,3. 15 SIGNS WORK ORDER,3,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",WEB PAGE & DIGITAL ADS | Llama o Text 732-379-0593 | LISTO PARA ENTREGAR | 270.4 | 288.31
reject_as_identityless_after_audit,3. 15 SIGNS WORK ORDER,4,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",**** | AUN NO SE HIZO NADA | 58 | 35.4 | 653.26 | 1682.61
reject_as_identityless_after_audit,3. 15 SIGNS WORK ORDER,79,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 62 | 775 | 1188 | 0 | 0 | 0 | 0
reject_as_identityless_after_audit,3. 15 SIGNS WORK ORDER,270,financial_line,,"No reliable customer, contact, phone, or attachable work-order identity found in row-level audit.",Missing customer/contact/phone identity: 253 | 35283.53983 | 11521.09 | 23762.44983 | 6513.777325
attach_to_existing_work_order,Sheet12,6,financial_line,WORLD SUPERMARKET / AIT-WO-ARCH-1661,"Exact title, net, tax, and total match promoted WORK ORDER TERMINADOS Y PAGADOS row 1661: WORLD SUPERMARKET (BOUND BROOK), RUDY, 162 / 10.7325 / 172.7325.",ESTAMPADOS 10 POLOS Y 8 HOODIES | 162 | 10.7325 | 172.7325
hold_amount_mismatch,Sheet12,7,financial_line,WORLD SUPERMARKET / AIT-WO-ARCH-1667,"Title matches promoted row 1667, but residual row amount 350.0 / 373.1875 does not match promoted row amount 100.0; the amount appears to match adjacent promoted row 1666 with a different title.","200 HOJAS AMBOS LADOS 8.5 X 11"" | 350.0 | 23.1875 | 373.1875"
