decision,sourceKey,target,resolvedContact,resolvedPhone,matchType,reviewItemId,approval,sourceClientNames,sourcePhones,workbookOriginalText,reason
already_imported_existing_contact,,PINAS LOCAS,,,,236a4b92-0bdd-45ee-8251-10b4fda0d07a,high rough approved,PINAS LOCAS,,125 | PINAS LOCAS | SANDY | 10 QR DE 2.5X2.5 | 45.0 | 2.49 | 48.0 | 48.0 | 0 | 0,
already_imported_existing_contact,,FONSE,,,,4eb3a627-cd7b-4721-bca7-bdf2b0ece196,high rough approved,FONSE,,191 | 46096.0 | FONSE | GARY | 2 PUERTAS SIGNS | 0 | 0 | 0 | 0,
already_imported_existing_contact,,CENTRAL FRESH SUPERMARKET,,,,96aad442-1864-4614-90f2-f0bb41c7a0f5,high rough approved,CENTRAL FRESH SUPERMARKET,,218 | 46160.0 | CENTRAL FRESH SUPERMARKET | FRANKIE | 8 ESTAMPADOS EN COLOR SOLO LOGO | JULIO | 40.0 | 2.65 | 42.65 | 43.0 | -0.35 | -0.35,
already_imported_existing_contact,,PATRICIA SABOR CASERO,,,,f69ab794-db10-4b33-9be9-5fa0f17458a0,high rough approved,PATRICIA SABOR CASERO,,241 | 46169.0 | PATRICIA SABOR CASERO | PATRICIA | 100 STICKERS | JULIO | 0 | 0 | 0 | 0,
already_imported_existing_contact,,GREEN WORLD,,,,16789317-6b75-448d-b274-49f3f24a8aa5,high rough approved,GREEN WORLD,,29 | SI | NO | 41255.0 | GREEN WORLD | stamp | 29 | S | 0 | 0 | 42086.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,JOSE CAICEDO,,,,13b888a4-2098-47d1-ad31-51c74fb80e95,high rough approved,JOSE CAICERO,,40 | SI | NO | 41310.0 | JOSE CAICERO | bussines card | 40 | S | 0 | 0 | 42086.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,DIEGO,,,,87b2b660-a8ea-4cba-a2b2-4a1a7b5ff9e5,high rough approved,DIEGO,,41 | SI | NO | 41314.0 | DIEGO | logos | 41 | S | 0 | 0 | 42086.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,TONY,,,,2e3098c3-2279-45ea-bbe3-2620d9cd53fe,high rough approved,TONY,,45 | SI | NO | 41316.0 | TONY | diseno | 45 | S | 0 | 0 | 42086.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,VALVERDE LANDSCAPING,,,,02df4ce2-70bf-4830-903a-77aea02861e7,high rough approved,VALUERDE LANDSCOPING,,55 | SI | NO | 41389.0 | VALUERDE LANDSCOPING | sign | 55 | S | 0 | 0 | 42086.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,GREEN WORLD,,,,dfef6c37-ddfa-420f-a32b-29edc94758fa,high rough approved,GREEN WORLD,,63 | SI | NO | 41479.0 | GREEN WORLD | stamp | 63 | S | 0 | 0 | 42084.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,GLOBAL,,,,9d01c3c5-9aa4-4f64-a429-08bc79199b6e,high rough approved,GLOBAL,,74 | SI | NO | 41593.0 | GLOBAL | sign | 74 | S | 0 | 0 | 42084.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,PASTOR SILVIO,,,,af7a4182-6e1e-44fc-95bc-a8aed0f400d1,high rough approved,PASTOR SILVIO,,79 | SI | NO | 41706.0 | PASTOR SILVIO | signs bairo | 79 | S | 0 | 0 | 42084.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,FRANKY'S,,,,43ae8a95-70f0-414d-8097-2907fd3e5c4f,high rough corrected from Frank to Franky/Franky's,FRANKY,,92 | SI | NO | 41757.0 | FRANKY | vandada 24x9 | 92 | S | 0 | 0 | 42084.0 | se le dio la informacion | 44981.0 | SIN NUMERO | ANDREA,
already_imported_existing_contact,,JBP CONTRACTOR,,,,c5b4782e-a127-48ab-be4a-c82720f922cb,medium rough approved,JBP CONSTRUCTION,,75 | 46110.0 | JBP CONSTRUCTION | JAIME | 0 | 0 | 0,
held_for_human_confirmation,,,,,,,,4 BROTHERS HOME IMPROVENT,9083338110,92 | 45794.0 | 4 BROTHERS HOME IMPROVENT | 908 333 8110 | 2 YARD SINGS | 0 | 0 | 0 | 0,"Alvaro rejected GK Brothers; staging has no 9083338110 contact/person phone match, so hold for explicit target confirmation."
